"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.842800083E0,5.072950745E-1,4.978646851E-1,9.905052338E0
2.852772083E0,5.173242188E-1,4.589456177E-1,9.899813232E0
2.862744083E0,5.234614563E-1,4.306544495E-1,9.885742493E0
2.872715083E0,5.264552307E-1,4.248165894E-1,9.863588562E0
2.882687083E0,5.128335571E-1,4.224215698E-1,9.860445099E0
2.892659083E0,4.870870972E-1,4.258644104E-1,9.851014709E0
2.902631084E0,4.700225830E-1,4.540058899E-1,9.858948212E0
2.912602084E0,4.836442566E-1,4.873864746E-1,9.898615723E0
2.922574083E0,5.098397827E-1,4.990621948E-1,9.919272766E0
2.932546083E0,5.237608337E-1,5.043013000E-1,9.911039886E0
2.942517083E0,5.123844910E-1,5.074447632E-1,9.884994049E0
2.952489083E0,5.177732849E-1,4.995112610E-1,9.866582336E0
2.962461083E0,5.183720398E-1,4.864883423E-1,9.846374359E0
2.972432083E0,5.060975647E-1,4.891827393E-1,9.798024902E0
2.982404083E0,4.813989258E-1,5.203179932E-1,9.772428131E0
2.992376084E0,5.089416504E-1,5.429209900E-1,1.003767654E1
3.002348084E0,5.574407959E-1,5.243595886E-1,9.959988098E0
3.012319083E0,5.411247253E-1,4.945715332E-1,9.662406921E0
3.022291083E0,5.182223511E-1,4.673281860E-1,9.666298828E0
3.032263083E0,4.876858521E-1,4.644841003E-1,9.928403778E0
3.042234083E0,4.851411438E-1,5.035528564E-1,1.005414230E1
3.052206083E0,5.254074097E-1,5.493576050E-1,9.905351715E0
3.062178083E0,5.426216125E-1,5.727090454E-1,9.768236847E0
3.072149083E0,5.301974487E-1,5.716612244E-1,9.797126770E0
3.082121084E0,5.062472534E-1,5.640270996E-1,9.876461792E0
3.092093084E0,4.972659302E-1,5.743556213E-1,9.936187592E0
3.102065083E0,5.269042969E-1,5.816903687E-1,9.915530548E0
3.112036083E0,5.390290833E-1,5.557942200E-1,9.850565643E0
3.122008083E0,5.402265930E-1,5.257067871E-1,9.799372101E0
3.131980083E0,5.388793945E-1,4.951702881E-1,9.803264008E0
3.141951083E0,5.227130127E-1,4.980143738E-1,9.858199768E0
3.151923083E0,5.174739075E-1,4.986131287E-1,9.893526306E0
3.161895083E0,5.197192383E-1,5.040019226E-1,9.894274750E0
3.171866084E0,5.245092773E-1,5.010081482E-1,9.875264282E0
3.181838084E0,5.104385376E-1,4.834945679E-1,9.857900391E0
3.191810083E0,5.017565918E-1,4.816983032E-1,9.850565643E0
3.201782083E0,5.040019226E-1,4.760101318E-1,9.858948212E0
3.211753083E0,4.996609497E-1,4.758604431E-1,9.867630157E0
3.221725083E0,5.023553467E-1,4.839436340E-1,9.864486694E0
3.231697083E0,5.034031677E-1,4.951702881E-1,9.868677979E0
3.241668083E0,4.971162415E-1,5.087919617E-1,9.847871246E0
3.251640000E0,5.010081482E-1,5.029541016E-1,9.834548950E0
3.261612000E0,5.046006775E-1,4.993615723E-1,9.827812958E0
3.271583000E0,5.167254639E-1,5.007087708E-1,9.855655060E0
3.281555000E0,5.180726624E-1,4.953199768E-1,9.865684204E0
3.291527000E0,5.206173706E-1,4.911286926E-1,9.847721558E0
3.301499000E0,5.210664368E-1,4.885839844E-1,9.838291168E0
3.311470000E0,5.430706787E-1,4.869374084E-1,9.848020935E0
3.321442000E0,5.346881104E-1,4.930746460E-1,9.861343231E0
3.331414000E0,5.388793945E-1,4.984634399E-1,9.863738251E0
3.341385000E0,5.399272156E-1,5.066963196E-1,9.865384827E0
3.351357000E0,5.445675659E-1,5.255570984E-1,9.849667511E0
3.361329000E0,5.429209900E-1,5.408253479E-1,9.854906616E0
3.371300000E0,5.418731689E-1,5.361849976E-1,9.860594788E0
3.381272000E0,5.294490051E-1,5.322930908E-1,9.857301636E0
3.391244000E0,5.358856201E-1,5.230123901E-1,9.862540741E0
3.401216000E0,5.417234802E-1,5.245092773E-1,9.867630157E0
3.411187000E0,5.357359314E-1,5.212161255E-1,9.853858795E0
3.421159000E0,5.210664368E-1,5.227130127E-1,9.852810974E0
3.431131000E0,5.123844910E-1,5.182223511E-1,9.865085449E0
3.441102000E0,5.086422729E-1,5.111869812E-1,9.821376343E0
3.451074000E0,5.138813782E-1,4.885839844E-1,9.753717041E0
3.461046000E0,5.222639465E-1,4.727169800E-1,9.755363617E0
3.471017000E0,5.107379150E-1,4.836442566E-1,9.867630157E0
3.480989000E0,5.029541016E-1,5.060975647E-1,9.977501678E0
3.490961000E0,4.986131287E-1,5.125341797E-1,9.994416504E0
3.500932000E0,4.779560852E-1,5.183720398E-1,9.925260315E0
3.510904000E0,4.796026611E-1,5.099894714E-1,9.847571869E0
3.520876000E0,5.001100159E-1,4.989125061E-1,9.813442841E0
3.530848000E0,5.068460083E-1,4.748126221E-1,9.578730927E0
3.540819000E0,5.270539856E-1,4.974156189E-1,9.700427856E0
3.550791000E0,4.872367859E-1,5.539979553E-1,1.013183075E1
3.560763000E0,5.366340637E-1,5.493576050E-1,1.008168503E1
3.570734000E0,5.995033264E-1,5.086422729E-1,9.710606689E0
3.580706000E0,5.664221191E-1,4.266128540E-1,9.542655945E0
3.590678000E0,5.080435181E-1,3.909869385E-1,9.755513306E0
3.600650000E0,4.583468628E-1,4.330494690E-1,9.981992340E0
3.610621000E0,5.032534790E-1,5.481600952E-1,9.904603271E0
3.620593000E0,5.851332092E-1,6.530918884E-1,9.830956421E0
3.630565000E0,5.936654663E-1,6.625222778E-1,9.831854553E0
3.640536000E0,5.349874878E-1,6.159690857E-1,9.857002258E0
3.650508000E0,4.649331665E-1,5.845344543E-1,9.877808990E0
3.660480000E0,4.620890808E-1,5.595364380E-1,9.869875488E0
3.670451000E0,4.957690430E-1,5.276527405E-1,9.875114594E0
3.680423000E0,5.224136353E-1,4.870870972E-1,9.884245605E0
3.690395000E0,5.321434021E-1,4.490661621E-1,9.884994049E0
3.700366000E0,5.426216125E-1,4.351451111E-1,9.885742493E0
3.710338000E0,5.450166321E-1,4.239184570E-1,9.864187317E0
3.720310000E0,5.267546082E-1,4.305047607E-1,9.850116577E0
3.730282000E0,5.158273315E-1,4.598437500E-1,9.850865021E0
3.740253000E0,5.104385376E-1,4.748126221E-1,9.874515839E0
3.750225000E0,5.266049194E-1,4.858895874E-1,9.897268524E0
3.760197000E0,5.420228577E-1,5.002597046E-1,9.920619965E0
3.770168000E0,5.575904846E-1,4.860392761E-1,9.899513855E0
3.780140000E0,5.474116516E-1,4.619393921E-1,9.884544983E0
3.790112000E0,5.339396667E-1,4.534071350E-1,9.879605255E0
3.800084000E0,5.114863586E-1,4.590953064E-1,9.827513580E0
3.810055000E0,4.882846069E-1,4.905299377E-1,9.714498596E0
3.820027000E0,4.878355408E-1,5.447172546E-1,9.873617706E0
3.829999000E0,5.568420410E-1,5.390290833E-1,1.010309052E1
3.839970000E0,5.655239868E-1,4.938230896E-1,9.852661285E0
3.849942000E0,5.254074097E-1,4.822970581E-1,9.658664703E0
3.859914000E0,4.764591980E-1,4.517605591E-1,9.725575562E0
3.869885000E0,4.486170959E-1,4.575984192E-1,9.862391052E0
3.879857000E0,5.152285767E-1,5.361849976E-1,1.003333557E1
3.889829000E0,5.601351929E-1,5.763015747E-1,9.986932068E0
3.899801000E0,5.607339478E-1,5.757028198E-1,9.794432373E0
3.909772000E0,5.278024292E-1,5.547463989E-1,9.757908325E0
